"Reference","Qty","Value","Footprint", "Comment","unit price","link"
"SW1,SW2,SW3,SW4","4","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB", " Cherry Mx switch","9.60 for 16 pack"," https://www.aliexpress.com/item/1005006951950465.html?spm=a2g0n.productlist.0.0.4a814c20TfvDCc&browser_id=88688e762c4b4ac592af2021b8ba8817&aff_platform=msite&m_page_id=rjdwismp7vocaxrh19fe0c314ff1d62b447f27f14a&gclid=&pdp_ext_f=%7B%22order%22%3A%22273%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%2115118.00%2110884.96%21%21%2148.50%2134.92%21%40ac10c0bf17861823091075510dbae2%2112000047076999704%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A88b7f846%3Bm03_new_user%3A-29895&isseo=y&algo_pvid=e931d695-296a-42d6-9d0b-ae3af8d65b24&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006951950465%7C_p_origin_prod%3A"
"U1","1","MOUDLE-SEEEDUINO-XIAO","footprints:XIAO-Generic-Hybrid-14P-2.54-21X17.8MM", " Seed studio samd21", 10.99","https://www.aliexpress.com/item/4000100166477.html?spm=a2g0n.productlist.0.0.5d422464LBuJkQ&browser_id=88688e762c4b4ac592af2021b8ba8817&aff_platform=msite&m_page_id=rjdwismp7vocaxrh19fe0c04227247d6e50a35c1b8&gclid=&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%212883.33%212708.77%21%21%219.25%218.69%21%40ac10c6f117861821240587633d4451%2110000000263150986%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A88b7f846%3Bm03_new_user%3A-29895&algo_pvid=fc0baad9-8cc8-423f-a047-dd8736d333ec&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000100166477%7C_p_origin_prod%3A"
